"phylum","class","order","family","genus","species","body_mass_kg","brain_mass_kg","brain_body_ratio"
"Arthropoda","Insecta","Hymenoptera","Formicidae","Brachymyrmex","Brachymyrmex sp.1",4.4e-08,6e-09,0.136363636363636
"Arthropoda","Insecta","Hymenoptera","Formicidae","Brachymyrmex","Brachymyrmex sp.2",7.45e-08,6e-09,0.0805369127516778
"Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus sericeiventris",3.739e-05,4.4e-07,0.011767852366943
"Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus sp.1",5.0525e-06,1.84e-07,0.0364176150420584
"Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus sp.2",2.213e-05,2.95e-07,0.0133303208314505
"Arthropoda","Insecta","Hymenoptera","Formicidae","Camponotus","Camponotus sp.3",2.5665e-05,3.04e-07,0.0118449249951296
"Arthropoda","Insecta","Hymenoptera","Formicidae","Cephalotes","Cephalotes atratus",3.17655e-05,4.17e-07,0.013127449591538
"Arthropoda","Insecta","Hymenoptera","Formicidae","Cephalotes","Cephalotes sp.",7.36e-06,1.4e-07,0.0190217391304348
"Arthropoda","Insecta","Hymenoptera","Formicidae","Cephalotes","Cephalotes umbraculatus",7.98e-06,1.6e-07,0.0200501253132832
"Arthropoda","Insecta","Hymenoptera","Formicidae","Crematogaster","Crematogaster sp.",7.95e-07,4.4e-08,0.0553459119496855
"Arthropoda","Insecta","Hymenoptera","Formicidae","Cyphomyrmex","Cyphomyrmex cornutus",3.9e-07,2.9e-08,0.0743589743589744
"Arthropoda","Insecta","Hymenoptera","Formicidae","Cyphomyrmex","Cyphomyrmex longiscapus",3.88e-07,2.8e-08,0.0721649484536083
"Arthropoda","Insecta","Hymenoptera","Formicidae","Cyphomyrmex","Cyphomyrmex muelleri",5.32e-07,3.3e-08,0.0620300751879699
"Arthropoda","Insecta","Hymenoptera","Formicidae","Cyphomyrmex","Cyphomyrmex sp.",4.1e-07,3e-08,0.0731707317073171
"Arthropoda","Insecta","Hymenoptera","Formicidae","Dolichoderus","Dolichoderus sp.",4.5825e-06,1.38e-07,0.030114566284779
"Arthropoda","Insecta","Hymenoptera","Formicidae","Eciton","Eciton burchellii",1.7449e-05,2.02e-07,0.0115765946472577
"Arthropoda","Insecta","Hymenoptera","Formicidae","Ectatomma","Ectatomma ruidum",1.0531e-05,2.2e-07,0.0208907036368816
"Arthropoda","Insecta","Hymenoptera","Formicidae","Ectatomma","Ectatomma tuberculatum",1.852e-05,3.87e-07,0.0208963282937365
"Arthropoda","Insecta","Hymenoptera","Formicidae","Gnamptogenys","Gnamptogenys sp.1",5.76e-07,2.8e-08,0.0486111111111111
"Arthropoda","Insecta","Hymenoptera","Formicidae","Gnamptogenys","Gnamptogenys sp.2",9.873e-06,2.44e-07,0.0247138660994632
"Arthropoda","Insecta","Hymenoptera","Formicidae","Megalomyrmex","Megalomyrmex sp.1",1.37e-07,1e-08,0.072992700729927
"Arthropoda","Insecta","Hymenoptera","Formicidae","Megalomyrmex","Megalomyrmex sp.2",1.189e-06,4.7e-08,0.039529015979815
"Arthropoda","Insecta","Hymenoptera","Formicidae","Monomorium","Monomorium floricola",6.5e-08,6e-09,0.0923076923076923
"Arthropoda","Insecta","Hymenoptera","Formicidae","Monomorium","Monomorium trageri",1.01e-07,1e-08,0.099009900990099
"Arthropoda","Insecta","Hymenoptera","Formicidae","Mycetophylax","Mycetophylax sp.",1.4865e-06,4.7e-08,0.0316178943827783
"Arthropoda","Insecta","Hymenoptera","Formicidae","Mycocepurus","Mycocepurus smithii",3.2e-07,2.2e-08,0.06875
"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","Myrmecia croslandi",2.03217142857143e-05,5.26285714285714e-07,0.0268366650048934
"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","Myrmecia gulosa",5.94215e-05,1.04645e-06,0.0218274945183193
"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","Myrmecia midas",7.94488260869565e-05,1.22404347826087e-06,0.0186385010371851
"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","Myrmecia nigriceps",6.67393e-05,1.0031e-06,0.0165102221934175
"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","Myrmecia nigrocincta",1.66338333333333e-05,5.71333333333333e-07,0.0350560841350101
"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","Myrmecia pyriformis",6.76586666666667e-05,1.12922222222222e-06,0.0192535157046239
"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecia","Myrmecia tarsata",6.37606875e-05,8.931875e-07,0.0155055344842326
"Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmicocrypta","Myrmicocrypta ednaella",3.195e-07,2.3e-08,0.0719874804381847
"Arthropoda","Insecta","Hymenoptera","Formicidae","Nomamyrmex","Nomamyrmex sp.",1.18945e-05,2.04e-07,0.0171507839757871
"Arthropoda","Insecta","Hymenoptera","Formicidae","Odontomachus","Odontomachus bauri",1.57825e-05,2.12e-07,0.0134325993980675
"Arthropoda","Insecta","Hymenoptera","Formicidae","Odontomachus","Odontomachus brunneus",6.1925e-06,1.92e-07,0.0310052482842148
"Arthropoda","Insecta","Hymenoptera","Formicidae","Odontomachus","Odontomachus hastatus",2.5325e-05,4.3e-07,0.0169792694965449
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pachycondyla","Pachycondyla apicalis",4.0717e-05,6.59e-07,0.016184885919886
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pachycondyla","Pachycondyla obscuricornis",1.51775e-05,3.97e-07,0.0261571405040356
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pachycondyla","Pachycondyla sp.1",9.7e-06,1.9e-07,0.0195876288659794
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pachycondyla","Pachycondyla sp.2",4.4785e-06,1.55e-07,0.0346098023891928
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pachycondyla","Pachycondyla sp.3",2.723e-06,7.5e-08,0.0275431509364671
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pachycondyla","Pachycondyla villosa",4.6435e-05,5.03e-07,0.0108323462905136
"Arthropoda","Insecta","Hymenoptera","Formicidae","Paraponera","Paraponera clavata",0.000168785,1.73e-06,0.0102497259827591
"Arthropoda","Insecta","Hymenoptera","Formicidae","Paratrechina","Paratrechina longicornis",3.42e-07,2.8e-08,0.0818713450292398
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole obscurithorax",5.54e-07,3e-08,0.0541516245487365
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole sp.1",9.3e-08,8e-09,0.0860215053763441
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole sp.2",2.34e-07,1.6e-08,0.0683760683760684
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole sp.3",6.9e-08,8e-09,0.115942028985507
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole sp.4",1.02e-07,1.1e-08,0.107843137254902
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole sp.5",2.54e-07,2e-08,0.078740157480315
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole sp.6",1.22e-07,1.3e-08,0.10655737704918
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole sp.7",1.027e-06,4.9e-08,0.0477117818889971
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole sp.8",1.1645e-06,4.7e-08,0.0403606698153714
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole sp.9",5.29e-07,2.8e-08,0.052930056710775
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pogonomyrmex","Pogonomyrmex badius",2.1941e-05,1.39e-07,0.0063351715965544
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pseudomyrmex","Pseudomyrmex sp.1",2.889e-06,1.35e-07,0.0467289719626168
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pseudomyrmex","Pseudomyrmex sp.2",4.985e-07,4.5e-08,0.0902708124373119
"Arthropoda","Insecta","Hymenoptera","Formicidae","Pseudomyrmex","Pseudomyrmex sp.3",5.228e-06,2.77e-07,0.0529839326702372
"Arthropoda","Insecta","Hymenoptera","Formicidae","Sericomyrmex","Sericomyrmex sp.",1.3205e-06,5.3e-08,0.0401363120030292
"Arthropoda","Insecta","Hymenoptera","Formicidae","Solenopsis","Solenopsis sp.1",9.85e-08,1e-08,0.101522842639594
"Arthropoda","Insecta","Hymenoptera","Formicidae","Solenopsis","Solenopsis sp.2",4.73e-07,3.1e-08,0.06553911205074
"Arthropoda","Insecta","Hymenoptera","Formicidae","Tapinoma","Tapinoma melanocephalum",1.32e-07,1.1e-08,0.0833333333333333
"Arthropoda","Insecta","Hymenoptera","Formicidae","Trachymyrmex","Trachymyrmex coniktzi",1.06825e-06,5.35e-08,0.0503637983067512
"Arthropoda","Insecta","Hymenoptera","Formicidae","Trachymyrmex","Trachymyrmex sp.1",1.1825e-06,5e-08,0.0422832980972516
"Arthropoda","Insecta","Hymenoptera","Formicidae","Trachymyrmex","Trachymyrmex sp.2",2.261e-06,7e-08,0.0309597523219814
"Arthropoda","Insecta","Hymenoptera","Formicidae","Trachymyrmex","Trachymyrmex zeteki",2.1265e-06,6.4e-08,0.030096402539384
"Arthropoda","Insecta","Hymenoptera","Formicidae","Wasmannia","Wasmannia aurpunctata",1.09e-07,7e-09,0.0642201834862385
"Arthropoda","Insecta","Orthoptera","Acrididae","Melanoplus","Melanoplus femurrubrum",0.000458,2.33e-06,0.00508733624454148
"Chordata","Amphibia","Anura","Ceratobatrachidae","Platymantis","Platymantis vitiensis",3e-04,4.93136e-06,0.0164378666666667
"Chordata","Amphibia","Anura","Hylidae","Acris","Acris crepitans",3e-04,4.43408e-06,0.0147802666666667
"Chordata","Amphibia","Anura","Hylidae","Hyla","Hyla versicolor",0.01315,4.225844e-05,0.00321356958174905
"Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris triseriata",1e-04,2.25848e-06,0.0225848
"Chordata","Amphibia","Anura","Pipidae","Xenopus","Xenopus laevis",0.03237,5.137524e-05,0.00158712511584801
"Chordata","Amphibia","Anura","Ranidae","Rana","Rana catesbeiana",0.5199,0.0004625,0.000889594152721677
"Chordata","Amphibia","Anura","Ranidae","Rana","Rana clamitans",0.00362,3.915044e-05,0.0108150386740331
"Chordata","Amphibia","Anura","Ranidae","Rana","Rana pipiens",0.0011,2.03574e-05,0.0185067272727273
"Chordata","Amphibia","Anura","Ranidae","Rana","Rana sylvatica",0.00037,8.56772e-06,0.023156
"Chordata","Amphibia","Anura","Rhionphrynidae","Rhinophrynus","Rhinophrynus dorsalis",0.01657,3.292408e-05,0.00198696922148461
"Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter cirrocephalus",0.1825,0.00247604,0.0135673424657534
"Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter fasciatus",0.403,0.004662,0.0115682382133995
"Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter novaehollandiae",0.515,0.00491064,0.00953522330097087
"Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Accipiter striatus",0.52,0.0057,0.0109615384615385
"Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila audax",3.814,0.01682464,0.00441128474042999
"Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila rapax",2.24433333333333,0.0138733333333333,0.00640960132627436
"Chordata","Aves","Accipitriformes","Accipitridae","Aviceda","Aviceda subcristata",0.3535,0.0048692,0.0137742574257426
"Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo vulpinus",0.558,0.00799,0.0143189964157706
"Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus approximans",0.74,0.00567728,0.007672
"Chordata","Aves","Accipitriformes","Accipitridae","Elanus","Elanus axillaris",0.2605,0.00349132,0.0134023800383877
"Chordata","Aves","Accipitriformes","Accipitridae","Gyps","Gyps africanus",5.27,0.0196,0.00371916508538899
"Chordata","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus leucogaster",3.35,0.01308468,0.00390587462686567
"Chordata","Aves","Accipitriformes","Accipitridae","Haliaeetus","Haliaeetus vocifer",3.5,0.01293,0.00369428571428571
"Chordata","Aves","Accipitriformes","Accipitridae","Haliastur","Haliastur indus",0.5835,0.0064232,0.0110080548414739
"Chordata","Aves","Accipitriformes","Accipitridae","Haliastur","Haliastur sphenurus",0.775,0.00684796,0.00883607741935484
"Chordata","Aves","Accipitriformes","Accipitridae","Hamirostra","Hamirostra melanosternon",1.3,0.0107226,0.00824815384615385
"Chordata","Aves","Accipitriformes","Accipitridae","Hieraaetus","Hieraaetus morphnoides",0.815,0.00809116,0.0099278036809816
"Chordata","Aves","Accipitriformes","Accipitridae","Lophoictinia","Lophoictinia isura",0.5675,0.006734,0.0118660792951542
"Chordata","Aves","Accipitriformes","Accipitridae","Milvus","Milvus migrans",0.587,0.00602952,0.0102717546848382
"Chordata","Aves","Accipitriformes","Cathartidae","Cathartes","Cathartes aura",0.494,0.0093,0.0188259109311741
"Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion cristatus",1.415,0.00971768,0.0068676183745583
"Chordata","Aves","Anseriformes","Anatidae","Alopochen","Alopochen aegyptiaca",1.935,0.00764,0.00394832041343669
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas acuta",0.67,0.0049548,0.00739522388059701
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas carolinensis",0.305,0.003116,0.010216393442623
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas castanea",0.65,0.00386428,0.00594504615384615
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas gracilis",0.4965,0.00364672,0.00734485397784491
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas rhynchotis",0.65,0.00366744,0.00564221538461538
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas superciliosa",1,0.00552188,0.00552188
"Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya australis",0.85,0.00506604,0.00596004705882353
"Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya marila",0.787,0.0047859,0.00608119440914867
"Chordata","Aves","Anseriformes","Anatidae","Biziura","Biziura lobata",1.975,0.00903392,0.00457413670886076
"Chordata","Aves","Anseriformes","Anatidae","Cereopsis","Cereopsis novaehollandiae",5,0.00914788,0.001829576
"Chordata","Aves","Anseriformes","Anatidae","Chenonetta","Chenonetta jubata",0.8,0.00422688,0.0052836
"Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus atratus",6.1,0.0125874,0.00206350819672131
"Chordata","Aves","Anseriformes","Anatidae","Dendrocygna","Dendrocygna arcuata",0.8,0.00467236,0.00584045
"Chordata","Aves","Anseriformes","Anatidae","Dendrocygna","Dendrocygna eytoni",1,0.00472416,0.00472416
"Chordata","Aves","Anseriformes","Anatidae","Malacorhynchus","Malacorhynchus membranaceus",0.375,0.0029526,0.0078736
"Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus serrator",0.77,0.005289,0.00686883116883117
"Chordata","Aves","Anseriformes","Anatidae","Nettapus","Nettapus pulchellus",0.28,0.00277648,0.009916
"Chordata","Aves","Anseriformes","Anatidae","Oxyura","Oxyura australis",0.85,0.00416472,0.00489967058823529
"Chordata","Aves","Anseriformes","Anatidae","Stictonetta","Stictonetta naevosa",0.91,0.00456876,0.00502061538461538
"Chordata","Aves","Anseriformes","Anatidae","Tadorna","Tadorna radjah",0.885,0.00536648,0.00606381920903955
"Chordata","Aves","Anseriformes","Anatidae","Tadorna","Tadorna tadornoides",1.45,0.00603988,0.00416543448275862
"Chordata","Aves","Anseriformes","Anseranatidae","Anseranas","Anseranas semipalmata",2.4,0.0091168,0.00379866666666667
"Chordata","Aves","Apodiformes","Aegothelidae","Aegotheles","Aegotheles cristatus",0.045,0.00147112,0.0326915555555556
"Chordata","Aves","Apodiformes","Apodidae","Aerodramus","Aerodramus terraereginae",0.0125,0.00024864,0.0198912
"Chordata","Aves","Apodiformes","Apodidae","Hirundapus","Hirundapus caudacutus",0.1175,0.00133644,0.0113739574468085
"Chordata","Aves","Apodiformes","Trochilidae","Amazilia","Amazilia tzacatl",0.0048,0.0001998,0.041625
"Chordata","Aves","Bucerotiformes","Bucorvidae","Bucorvus","Bucorvus leadbeateri",2.15,0.02625,0.0122093023255814
"Chordata","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus","Caprimulgus macrurus",0.0675,0.00104636,0.0155016296296296
"Chordata","Aves","Caprimulgiformes","Caprimulgidae","Eurostopodus","Eurostopodus argus",0.0975,0.00128464,0.0131757948717949
"Chordata","Aves","Caprimulgiformes","Caprimulgidae","Eurostopodus","Eurostopodus mystacalis",0.13,0.00137788,0.0105990769230769
"Chordata","Aves","Caprimulgiformes","Podargidae","Podargus","Podargus strigoides",0.285,0.00503496,0.0176665263157895
"Chordata","Aves","Casuariiformes","Casuariidae","Casuarius","Casuarius casuarius",43.85,0.0376586,0.000858805017103763
"Chordata","Aves","Casuariiformes","Casuariidae","Dromaius","Dromaius novaehollandiae",36.5,0.02991968,0.000819717260273973
"Chordata","Aves","Charadriiformes","Alcidae","Alle","Alle alle",0.103,0.001925,0.0186915535444947
"Chordata","Aves","Charadriiformes","Burhinidae","Burhinus","Burhinus grallarius",0.695,0.00446516,0.00642469064748202
"Chordata","Aves","Charadriiformes","Burhinidae","Esacus","Esacus magnirostris",1,0.0055426,0.0055426
"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius australis",0.084,0.0011914,0.0141833333333333
"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius bicinctus",0.0643,0.00114996,0.0180259453924915
"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius leschenaultii",0.0875,0.00130536,0.0149184
"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius mongolus",0.0635,0.00117068,0.018435905511811
"Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius ruficapillus",0.039,0.00084952,0.0218148345679012
"Chordata","Aves","Charadriiformes","Charadriidae","Elseyornis","Elseyornis melanops",0.0314,0.00087024,0.0277487037319117
"Chordata","Aves","Charadriiformes","Charadriidae","Erythrogonys","Erythrogonys cinctus",0.04795,0.00104636,0.0218319312744672
"Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis fulva",0.1383,0.0019166,0.0139599194422928
"Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","Pluvialis squatarola",0.2626,0.00264698,0.0101041019767442
"Chordata","Aves","Charadriiformes","Charadriidae","Thinornis","Thinornis rubricollis",0.1008,0.00117068,0.0116138888888889
"Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Vanellus miles",0.3349,0.0029526,0.00886537090498305
"Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Vanellus tricolor",0.1841,0.00247604,0.0134494336260209
"Chordata","Aves","Charadriiformes","Glareolidae","Stiltia","Stiltia isabella",0.0545,0.0010878,0.0199596330275229
"Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus fuliginosus",0.7594,0.00539756,0.00710766394521991
"Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus longirostris",0.63705,0.00456876,0.00718481097005154
"Chordata","Aves","Charadriiformes","Jacanidae","Irediparra","Irediparra gallinacea",0.108,0.00117068,0.0108396296296296
"Chordata","Aves","Charadriiformes","Laridae","Anous","Anous minutus",0.11,0.00156436,0.0142214545454545
"Chordata","Aves","Charadriiformes","Laridae","Anous","Anous stolidus",0.185,0.00231028,0.012488
"Chordata","Aves","Charadriiformes","Laridae","Chlidonias","Chlidonias hybrida",0.085,0.00153328,0.0180385882352941
"Chordata","Aves","Charadriiformes","Laridae","Chroicocephalus","Chroicocephalus novaehollandiae",0.3125,0.00323232,0.010343424
"Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia",0.5655,0.00485884,0.00859211317418214
"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus argentatus",0.535,0.00508,0.00949532710280374
"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus delawarensis",0.72,0.00872,0.0121111111111111
"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus dominicanus",0.94,0.00684796,0.00728506382978723
"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus pacificus",1.187,0.0070448,0.00593496208930076
"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus philadelphia",0.205,0.00249,0.0121463414634146
"Chordata","Aves","Charadriiformes","Laridae","Onychoprion","Onychoprion fuscata",0.176,0.00240352,0.0136563636363636
"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna dougallii",0.095,0.00158508,0.0166850526315789
"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo",0.12,0.00194768,0.0162306666666667
"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna sumatrana",0.09,0.00135716,0.0150795555555556
"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna vittata",0.15,0.00208236,0.0138824
"Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons",0.0475,0.00106708,0.0224648421052632
"Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus bergii",0.31,0.00348096,0.0112289032258065
"Chordata","Aves","Charadriiformes","Pedionomidae","Pedionomus","Pedionomus torquatus",0.0675,0.00079772,0.0118180740740741
"Chordata","Aves","Charadriiformes","Recurvirostridae","Cladorhynchus","Cladorhynchus leucocephalus",0.24,0.00166796,0.00694983333333333
"Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus",0.1744,0.0019684,0.0112866972477064
"Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra novaehollandiae",0.3272,0.00206682,0.00631728513245899
"Chordata","Aves","Charadriiformes","Rostratulidae","Rostratula","Rostratula australis",0.1255,0.00147112,0.0117220717131474
"Chordata","Aves","Charadriiformes","Scolopacidae","Actitis","Actitis hypoleucos",0.04565,0.00089096,0.0195690550423403
"Chordata","Aves","Charadriiformes","Scolopacidae","Arenaria","Arenaria interpres",0.11325,0.00123284,0.0109098132189511
"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris acuminata",0.0648,0.00102564,0.0158279285544177
"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris alba",0.05725,0.00104636,0.0183192996941896
"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris canutus",0.12,0.00136752,0.011396
"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris ferruginea",0.0561,0.00102564,0.0182870594965675
"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris melanotos",0.06045,0.00109298,0.0180772643678161
"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris ruficollis",0.0259,0.00068376,0.0264319164179104
"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris subminuta",0.025,0.00061124,0.0244496
"Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris tenuirostris",0.155,0.00159544,0.0102931612903226
"Chordata","Aves","Charadriiformes","Scolopacidae","Gallinago","Gallinago hardwickii",0.17185,0.00204092,0.0119972617196863
"Chordata","Aves","Charadriiformes","Scolopacidae","Limicola","Limicola falcinellus",0.04,0.00074592,0.018648
"Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","Limosa lapponica",0.3248,0.00286972,0.00884183529126066
"Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius madagascariensis",0.83205,0.0048692,0.00589134327967543
"Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius phaeopus",0.36505,0.00324268,0.00889796169429098
"Chordata","Aves","Charadriiformes","Scolopacidae","Phalaropus","Phalaropus lobatus",0.034,0.0004662,0.0137117647058824
"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa brevipes",0.12435,0.0013986,0.0112480287146322
"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa glareola",0.055,0.00105672,0.0192130909090909
"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa incana",0.11,0.00133644,0.0121494545454545
"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",0.17175,0.0019684,0.0114651076453636
"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa stagnatilis",0.07015,0.00153846,0.0219457894736842
"Chordata","Aves","Charadriiformes","Scolopacidae","Xenus","Xenus cinereus",0.075,0.00106708,0.0142277333333333
"Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius longicaudus",0.295,0.00306656,0.0103951186440678
